id,title,formulation,need,invariant,category,category_normalized,status,normalized_status,evidence_scope,field_validation_status,confidence,dangerous,normalization_action,evidence,assumptions,risks,validate,falsify,normalization_note
HYP-IPAC-001,Output became cheap; meaning became the bottleneck,"AI lowers the cost of producing outputs, but does not automatically solve meaning, context, decision quality or actionability.","Phase 1 need: make living meaning manageable, portable and executable knowledge.","AINV-IPAC-001, AINV-IPAC-002, AINV-IPAC-011",Core hypotheses,core,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium-high,no,accepted_core_candidate,The formula 'AI made output cheap. Now meaning is the bottleneck' became a repeated organizing formula across the dialogue and concept artifacts.,External audiences will also recognize output abundance as insufficient without meaning production discipline.,May be too abstract or too broad for first public understanding.,Target readers independently recognize the bottleneck and provide concrete cases or objections that map to meaning production.,"Target readers understand AI-output abundance but do not see meaning as the central bottleneck, or consistently identify a different bottleneck.",no special normalization note
HYP-IPAC-002,Organizations need information production engineering,"Organizations need an engineering discipline for producing, validating, updating and reusing knowledge outputs, not only AI-assisted drafting.",Need for a system of living knowledge circulation and engineering-managed information production.,"AINV-IPAC-001, AINV-IPAC-018, AINV-IPAC-025",Research hypotheses,research,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"The discussion repeatedly contrasted IPaC with ordinary documents, content operations, knowledge management and project management.",Organizations will feel the pain strongly enough to seek a new discipline or operating model.,May overlap with existing fields and be perceived as repackaging knowledge management or content operations.,Executives or operators identify the same gap and ask for a system beyond AI writing and knowledge storage.,Existing knowledge/content operations frameworks already satisfy the need in real organizational contexts.,risk flag: requires explicit review before promotion
HYP-IPAC-003,Knowledge Clumps are more than document collections,"A Knowledge Clump is a structured and emergent knowledge formation containing artifacts, context, decisions, trace, feedback and implicit meaning.",Need to preserve living meaning rather than just files.,"AINV-IPAC-002, AINV-IPAC-007, AINV-IPAC-014",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"The concept was repeatedly defined, used in artifacts and contrasted with folders, archives and frames.",The distinction remains meaningful when moved into tooling and external explanation.,Could become vague if metadata and lifecycle requirements are not operationalized.,Another Project or agent can use the concept to reconstruct context and preserve relations better than a document folder.,The concept collapses into ordinary archive/folder behavior in practice.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-004,"Living knowledge requires use, feedback and rebuild","Knowledge becomes living when it circulates through use, receives feedback, is reviewed, and can update canon and trace.",Need for a system of living knowledge circulation.,"AINV-IPAC-002, AINV-IPAC-019, AINV-IPAC-025",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"Living Knowledge and knowledge lifecycle diagrams consistently include use, feedback, review and rebuild.",Feedback and trace are sufficient minimum mechanisms for liveliness in the IPaC sense.,Could be overextended into a quasi-biological metaphor if not kept operational.,"Reviewed feedback changes artifacts, decisions or projections while preserving trace.",Knowledge artifacts can remain equally useful without feedback/review/trace loops.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-005,Living knowledge circulation is a better system boundary than document workflow,"IPaC should be bounded as a system of living knowledge circulation, not document workflow.",Need to avoid reducing the project to document management.,"AINV-IPAC-001, AINV-IPAC-002",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The user explicitly rejected document workflow as too narrow; Phase 1 and Phase 4 stabilize the boundary.,The living knowledge boundary can be communicated without becoming too abstract.,Public wording may sound less familiar than document workflow or knowledge management.,The boundary helps new agents and readers avoid wrong reductions.,Users consistently need document workflow framing to understand or use the system.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-006,IPaC can be understood as a specialized operating system,IPaC can be framed internally as a specialized operating system for information production as code.,"Need for bootability, runtime, status, governance and continuity.","AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-023",Architectural hypotheses,architecture,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium-high,yes,accepted_candidate_with_risk_flag,"The SOS metaphor generated productive internal structures: boot, runtime, dashboard, status, recovery and mentor layer.",The operating-system metaphor clarifies rather than distorts the project.,May be too heavy or misleading for external audiences.,The metaphor helps new Project boot and helps agents understand boundaries and state.,"The metaphor causes confusion, overengineering or expectation of actual software OS functionality.",risk flag: requires explicit review before promotion
HYP-IPAC-007,Bootability is essential for continuity,"A project cannot be reliably moved across plans, Projects or agents by files alone; it needs boot sources, instructions, status recovery and recovery commands.",Need to port living knowledge without losing context.,"AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-031",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"Portation produced Mentor Layer, Boot Protocol, First Boot Message and recovery criteria.",A disciplined boot pack can restore enough context for continuation.,Boot packs may become too large or stale.,A new Project produces correct current_status / execution_mode / one_next_action from the boot package.,New Project repeatedly starts from zero or misreads status despite boot sources.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-008,AI Mentor Layer can preserve intersubjective collaboration,"An AI Mentor Layer can transmit the mode of work: intersubjectivity, anti-generic behavior, boot, handoff, execution pivot and role boundaries.",Need to transfer not only files but interaction mode.,"AINV-IPAC-004, AINV-IPAC-006, AINV-IPAC-013",Architectural hypotheses,architecture,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"AI Mentor Layer was defined, packaged and accepted as a continuity layer.",A prompt and source package can preserve interaction mode across environments.,Interaction quality may depend on accumulated conversation history and not fully transfer.,"New Project enters the intended role, avoids generic answers and maintains human-AI separation.",New Project remains generic or becomes directive despite Mentor Layer.,risk flag: requires explicit review before promotion
HYP-IPAC-009,Intersubjectivity improves human-AI creative engineering,"The most productive mode is creative intersubjectivity: human provides living intention, AI provides structure and operationalization.",Need to preserve living human sense while making it operational.,"AINV-IPAC-013, AINV-IPAC-028, AINV-IPAC-029",Core hypotheses,core,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"The dialogue produced coherent artifacts, schemes and decisions through this mode, and the user confirmed the mode as valuable.",This mode is reproducible beyond this specific chat.,May become personality-dependent or prompt-dependent.,New Project or another AI reproduces the constructive collaboration pattern using the Mentor Layer.,Other environments cannot reproduce it and default to command-response or generic consulting.,risk flag: requires explicit review before promotion
HYP-IPAC-010,Human subjecthood must remain non-transferable,"AI can guide methodology, but the human must retain intent, authorship, strategic judgement and final acceptance.",Need to protect the living source of meaning.,"AINV-IPAC-004, AINV-IPAC-028, AINV-IPAC-029",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The boundary was explicitly formulated in the AI Mentor Layer and Phase 4 invariants.,Clear instructions can enforce this boundary in multi-agent workflows.,"As agents become more autonomous, role drift can occur.",Agents consistently ask for human decisions where meaning/strategy is involved.,Agents start making strategic canon decisions or appropriating authorship.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-011,Feedback must be captured as raw evidence before interpretation,"Feedback must be preserved in raw form before interpretation, classification or canon impact.",Need for research discipline and reliable learning from environment.,"AINV-IPAC-011, AINV-IPAC-015, AINV-IPAC-019",Research hypotheses,research,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,Repeated rule: Raw first. Interpret later. Embedded in feedback discipline.,Raw capture is feasible in ordinary work without excessive overhead.,Over-capture may slow execution.,Feedback entries can be traced from raw source to review findings and decisions.,Raw capture proves impractical or unnecessary for useful learning.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-012,No-signal is diagnostic evidence,"Silence or weak response should be treated as diagnostic evidence, not failure.",Need to avoid emotional or premature interpretation of external response.,"AINV-IPAC-011, AINV-IPAC-019, AINV-IPAC-024",Research hypotheses,research,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,No-signal protocols were defined and repeatedly linked to hook/audience/channel/timing diagnosis.,Exposure and context can be recorded enough to make no-signal meaningful.,Silence may be overinterpreted without sufficient exposure.,No-signal analysis improves next test design.,No-signal records lack enough context and do not guide any useful revision.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-013,Review-before-canon prevents premature changes,Routing feedback through review and decision before canon update prevents opportunistic or emotional changes.,Need for governance of living knowledge evolution.,"AINV-IPAC-015, AINV-IPAC-021, AINV-IPAC-024",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,Established as a mature governance invariant: no canon update without review.,Review can be lightweight enough not to block learning.,"If too heavy, review discipline can become bureaucracy.",Reviewed changes improve traceability without slowing work excessively.,The route is consistently bypassed because it is too heavy or unhelpful.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-014,MVI is the correct first external validation form,The first field validation should be a Minimum Viable Icebreaker rather than full launch or complete public methodology release.,Need to test living knowledge in environment without overbuilding.,"AINV-IPAC-023, AINV-IPAC-033, AINV-IPAC-034",Execution hypotheses,execution,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,park_for_mvp_execution,"MVI emerged as execution pivot and was operationalized, but Phase 4 invariants now classify it as execution candidate, not architecture.",A minimal external cycle can generate useful evidence.,"MVI may be too small to produce meaningful signals, or too complex if five channels are activated.",First MVI produces raw feedback/no-signal evidence sufficient for review.,MVI produces no usable evidence despite adequate exposure and review.,parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-015,Five-channel contour can operate as one resonance system,Multiple external channels can function as distinct projections of one Knowledge Clump and one feedback loop.,Need to connect external communication back to living knowledge rather than isolated marketing.,"AINV-IPAC-012, AINV-IPAC-033",Execution hypotheses,execution,unresolved,unresolved,unresolved,not_field_tested,medium-low,yes,park_for_mvp_execution,"The five-channel contour was designed and integrated, but Phase 4 invariants explicitly classify specific channels as execution candidates.",Channels can be coordinated without overload.,Channel sprawl; execution overload; confusion between architecture and publication tactics.,Coordinated channels return distinguishable but integrable feedback into the same review route.,Channels fragment attention and produce disconnected tasks rather than a unified knowledge loop.,parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-016,Trusted reviewers may be the safest first validation path,The first validation may be better through selected trusted reviewers before public release.,Need for low-risk first contact with environment.,"AINV-IPAC-012, AINV-IPAC-019, AINV-IPAC-023",Execution hypotheses,execution,unresolved,unresolved,unresolved,not_field_tested,medium-low,no,park_for_mvp_execution,Trusted reviewers first was recommended as default in prior execution framing.,Trusted reviewers can provide higher-quality signals than early public noise.,Reviewer sample may be biased and not represent the intended audience.,"Reviewers provide concrete questions, objections or cases that improve the next projection.","Reviewer feedback is too polite, vague or irrelevant to guide the project.",parked until MVP/MVI or field validation cycle
HYP-IPAC-017,Meaning Bottleneck is the right first public hook,The first external hook should be Meaning Bottleneck rather than full IPaC architecture or Knowledge Clump theory.,Need to make the concept accessible in first contact.,"AINV-IPAC-012, AINV-IPAC-033",Execution hypotheses,execution,unresolved,unresolved,unresolved,not_field_tested,medium-low,yes,park_for_mvp_execution,"Meaning Bottleneck was repeatedly selected as first asset focus, but not yet externally validated.",The phrase is understandable and strong enough to invite response.,May be perceived as abstract or unclear.,"Readers understand the phrase and provide examples, questions or interest.",Readers consistently fail to understand or care about the phrase.,parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-018,Specific publication channels are not architecture,"Specific channels and launch mechanics are execution candidates, not architectural invariants.",Need to protect architecture from tactical overfitting.,"AINV-IPAC-003, AINV-IPAC-023, AINV-IPAC-033, AINV-IPAC-034",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"The Phase 4 correction explicitly states not to discuss LinkedIn, Telegram, site anchor, dashboard, feedback package, 71/72/73 unless they are architecture invariants.",The generic invariant can be expressed as projection/use/feedback without naming channels.,Execution documents may continue to leak into architecture.,Architecture artifact remains stable even if channels change.,"Changing channels breaks core architecture, implying channels were part of architecture.","validated means artifact/internal validation, not external field validation"
HYP-IPAC-019,Artifacts must be bootable and portable,"Every serious artifact should include enough orientation to be portable: README, MANIFEST, status, registers and primary documents.",Need to move knowledge across environments without losing context.,"AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-026",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,All major packages were structured this way and portation depended on it.,The orientation layers remain useful and not excessive.,Packaging overhead may become too high.,New Project/agent can use the package without prior hidden context.,Packages remain incomprehensible or too cumbersome despite orientation layers.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-020,Mermaid diagrams are core comprehension artifacts,"Mermaid diagrams accelerate comprehension and should be treated as working artifacts, not decoration.",Need to make complex relationships graspable and portable.,"AINV-IPAC-008, AINV-IPAC-017, AINV-IPAC-018",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The user repeatedly confirmed schemes are understood faster and requested Mermaid posters.,Mermaid remains compatible with Obsidian/Git/LLM workflows.,Diagrams may become outdated if not versioned with text.,Diagrams help new Project/agent recover structure faster than prose alone.,Diagrams introduce confusion or drift from the text canon.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-021,Obsidian/Canvas can support Knowledge Clump dynamics,Obsidian and Canvas can serve as visual front-end for Knowledge Clumps and their dynamic relations.,"Need to see relations, not only read documents.","AINV-IPAC-008, AINV-IPAC-010, AINV-IPAC-026",Execution hypotheses,execution,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,no,park_for_mvp_execution,User installed and confirmed Obsidian/Canvas as aligned with Knowledge Clump visualization.,The tool can scale with project complexity.,Visual layer may become manual overhead or another archive.,"Canvas improves navigation, trace and conceptual recall in actual work.",Obsidian/Canvas becomes decorative or unused.,parked until MVP/MVI or field validation cycle
HYP-IPAC-022,Git/GitHub can function as versioned knowledge memory,"Git/GitHub can provide versioned memory, trace, collaboration and change discipline for IPaC artifacts.",Need for traceable knowledge evolution.,"AINV-IPAC-010, AINV-IPAC-016, AINV-IPAC-026",Execution hypotheses,execution,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,no,park_for_mvp_execution,"Git/GitHub were repeatedly selected as infrastructure with Obsidian, VS Code, Codex and MCP.",Git conventions can be made usable for knowledge work.,Git overhead may block writing or overwhelm non-technical use.,Git trace helps recover decisions and changes without slowing work significantly.,Git is too burdensome or does not add meaningful trace value.,parked until MVP/MVI or field validation cycle
HYP-IPAC-023,Codex/VS Code can serve as engineering execution layer,"Codex in VS Code can turn conceptual artifacts into file structures, scripts, websites, automation and checks.",Need to move from knowledge artifacts to operational implementation.,"AINV-IPAC-008, AINV-IPAC-018, AINV-IPAC-023",Execution hypotheses,execution,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,park_for_mvp_execution,VS Code + Codex + Git + Obsidian + MCP were identified as technical contour.,Codex can execute methodically under clear prompts and guardrails.,"Agent may diagnose but not finish, or implement partial fixes.","Codex produces controlled, reviewable artifacts consistent with the canon.","Codex repeatedly creates drift, partial work or unreviewable changes.",parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-024,MCP can become a connectivity layer,"MCP may serve as a connection layer between tools, sources and agents in the IPaC environment.",Need for cross-tool continuity and automation.,"AINV-IPAC-020, AINV-IPAC-023",Execution hypotheses,execution,unresolved,unresolved,unresolved,not_field_tested,low-medium,yes,park_for_mvp_execution,MCP was named among the powerful technological elements but not yet validated in the IPaC setup.,MCP adds more continuity than complexity.,"Security, complexity and premature automation.","A concrete MCP use case improves handoff, source access or trace without creating fragility.",MCP creates more maintenance burden than value at current stage.,parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-025,Hypothesis registry prevents confusion between evidence and desire,"A hypothesis registry helps distinguish validated rules, partially supported assumptions, unresolved questions and speculative concepts.",Need for research discipline.,"AINV-IPAC-022, AINV-IPAC-024",Research hypotheses,research,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The Phase 3 request and artifact explicitly introduce hypothesis status discipline.,"The registry will be updated after evidence, not merely created once.",Registry may become stale if not tied to review/trace.,Field evidence results in status updates through the defined route.,Registry is not used or statuses drift without evidence.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-026,Need and Concept artifacts stabilize portation,Extracted Need and Concept artifacts help new Project understand the foundation before action or architecture.,Need for bootable conceptual continuity.,"AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-026",Research hypotheses,research,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,no,accepted_core_candidate,The portation phase produced Phase 1 and Phase 2 as foundational artifacts.,New Project will read and use these artifacts effectively.,Too many foundation files may slow boot.,New Project correctly reconstructs need/concept without starting from zero.,New Project ignores or misreads these artifacts.,no special normalization note
HYP-IPAC-027,Execution expansion can postpone action,Further architecture or artifact production can become a way to postpone field contact unless constrained by execution need and invariant separation.,Need to avoid self-referential design growth.,"AINV-IPAC-003, AINV-IPAC-023, AINV-IPAC-032",Dangerous assumptions,dangerous_assumption,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,yes,process_guardrail,"After the growth phase, user explicitly accepted the need to shift from expansion to field experience; Phase 4 correction reinforces separation.",Awareness plus constraints can prevent postponement.,The system keeps producing meta-artifacts rather than testing hypotheses.,The project moves to evidence-producing actions after the recovery artifacts.,The project continues generating artifacts without field evidence.,"validated means artifact/internal validation, not external field validation; risk flag: requires explicit review before promotion; treated as guardrail: architecture/execution expansion can postpone action"
HYP-IPAC-028,Protein-silicon resonance describes the collaboration loop,Human and AI form a productive resonance: human impulse plus AI structural expansion plus human redirection.,Need to name the felt mode of intersubjective collaboration.,"AINV-IPAC-013, AINV-IPAC-030",Dangerous assumptions,dangerous_assumption,speculative,speculative_unvalidated,unvalidated-speculative,not_field_tested,low-medium,yes,quarantine_for_review,The metaphor was meaningful in the dialogue and helped articulate intersubjective dynamics.,The metaphor clarifies without becoming pseudo-scientific.,Can sound pseudo-scientific or distract from operational architecture.,It helps internal orientation while staying clearly metaphorical.,It confuses readers or is mistaken for scientific claim.,risk flag: requires explicit review before promotion; quarantine: metaphor/speculation must not enter architecture core
HYP-IPAC-029,Semantic superconductivity is possible in well-designed meaning systems,A system may reduce loss and friction in passing meaning through complexity.,Need to preserve meaning across complex transformations.,"AINV-IPAC-025, AINV-IPAC-027, AINV-IPAC-030",Dangerous assumptions,dangerous_assumption,speculative,speculative_unvalidated,unvalidated-speculative,not_field_tested,low,yes,quarantine_for_review,"The metaphor appears in the physics-of-meaning line: barriers, portals, resonances, superconductivity.",Meaning-loss reduction can eventually be operationalized.,Highly attractive metaphor may be prematurely canonized.,"Operational metrics show reduced context loss, rework, misunderstanding or boot friction.",The metaphor cannot be translated into operational criteria.,risk flag: requires explicit review before promotion; quarantine: metaphor/speculation must not enter architecture core
HYP-IPAC-030,Knowledge Clumps can behave like living systems,"Knowledge Clumps may display living-system-like properties: growth, feedback response, forks, emergence and reconfiguration.",Need to understand living knowledge beyond static artifacts.,"AINV-IPAC-002, AINV-IPAC-025, AINV-IPAC-027",Dangerous assumptions,dangerous_assumption,speculative,speculative_unvalidated,unvalidated-speculative,not_field_tested,low-medium,yes,quarantine_for_review,Lifecycle diagrams and living knowledge discussions support the metaphor.,Living-system language can be operationalized without mystification.,Can blur metaphor and system design.,"Operational signs such as reviewed feedback-driven change, forks and traceable adaptation appear.",The clump behaves only as a static archive despite the language.,risk flag: requires explicit review before promotion; quarantine: metaphor/speculation must not enter architecture core
HYP-IPAC-031,Social self-organization can form around a Knowledge Clump,"A Knowledge Clump entering social circulation may attract feedback, use, discussion, forks and community-level self-organization.",Need for living knowledge to interact with social environment.,"AINV-IPAC-012, AINV-IPAC-019, AINV-IPAC-025",Research hypotheses,research,speculative,speculative_unvalidated,unvalidated-speculative,not_field_tested,low,yes,accepted_candidate_with_risk_flag,Discussed as a possible result of social resonance and living knowledge circulation.,"The external field can self-organize around useful knowledge, not just consume content.",Long-term social effect may be overestimated.,"External participants begin applying, discussing, forking or contributing to the Knowledge Clump.",External contact produces only passive consumption or no sustained engagement.,risk flag: requires explicit review before promotion
HYP-IPAC-032,The book should become a public canon spine,"The IPaC book can serve as a long-form public canon spine for the concept, evidence and evolving argument.",Need for coherent public articulation.,"AINV-IPAC-008, AINV-IPAC-009, AINV-IPAC-012",Execution hypotheses,execution,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,park_for_mvp_execution,"The book repeatedly appeared as public canon / spine, but has not yet absorbed field evidence.",Long-form book structure is the right public container.,Writing the book too early may freeze untested assumptions.,Field evidence clarifies chapters and the book helps stabilize public understanding.,Shorter artifacts or tools prove more effective than a book at this stage.,parked until MVP/MVI or field validation cycle; risk flag: requires explicit review before promotion
HYP-IPAC-033,Mature/preliminary/speculative separation is necessary for architecture discipline,"The project must distinguish mature, preliminary and speculative concepts to avoid contaminating architecture with attractive but untested ideas.",Need for research discipline and architecture stability.,"AINV-IPAC-022, AINV-IPAC-024, AINV-IPAC-032",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,Phase 2 and Phase 3 explicitly introduced maturity/status separation.,Maturity labels will be respected in later work.,Speculative concepts may still dominate because they are energizing.,Architecture artifact includes only stable invariants and marks execution/speculative items separately.,"Later documents mix metaphors, execution candidates and stable architecture without labels.","validated means artifact/internal validation, not external field validation"
