question_id,question_text,category,related_phase,related_concept,related_hypothesis,related_research_gap,why_it_matters,risk_if_ignored,next_action_type,priority,confidence,import_status
OQ-IPAC-001,"Does IPaC answer a real external need, or primarily an internal intellectual/systemic pain?",need,Phase 1; Phase 5,Living Meaning; Field Evidence,HYP-IPAC-001; HYP-IPAC-002,RG-IPAC-011; RG-IPAC-012,"If the need is not externally recognizable, IPaC may remain internally coherent but externally weak.",False maturity; solution self-justification; weak adoption.,needs_field_evidence,critical,high,import_to_open_questions
OQ-IPAC-002,Can living meaning be translated into manageable artifacts without killing its living core?,concept,Phase 1; Phase 2; Phase 4,Living Meaning; Knowledge Artifact; Knowledge Clump,HYP-IPAC-003; HYP-IPAC-004,,This is the central transformation claim of IPaC.,Artifacts become dead documentation; the core need is betrayed.,needs_hypothesis_test,critical,high,import_to_hypothesis_review
OQ-IPAC-003,What minimal structure is required for a Knowledge Clump to remain alive and portable?,concept,Phase 2; Phase 4,Knowledge Clump; Context Pack; Trace,HYP-IPAC-003; HYP-IPAC-019,RG-IPAC-012,Too little structure loses context; too much structure creates bureaucracy.,Either context collapse or document proliferation.,needs_expert_review,high,high,import_to_open_questions
OQ-IPAC-004,Is the Canon / Trace / Review / Decision / Controlled Rebuild circuit actually workable in practice?,architecture,Phase 4,Canon; Trace; Review; Decision; Controlled Rebuild,HYP-IPAC-004; HYP-IPAC-013,,This is the stable living knowledge circuit claimed by the architecture invariants.,The architecture remains internally coherent but operationally untested.,needs_prototype_mvp,critical,high,import_to_architecture_review
OQ-IPAC-005,How to prevent Review / Decision / Trace discipline from becoming bureaucracy?,governance,Phase 4; Phase 8,Review; Decision; Trace,HYP-IPAC-013,,The same discipline that prevents false canonization may slow or deaden the system.,Process overload; living knowledge becomes dead procedure.,needs_methodology_review,high,high,import_to_open_questions
OQ-IPAC-006,Can Human + AI collaboration reliably hold complexity better than an ordinary long chat?,methodology,Phase 2; Phase 3R; Phase 8,Human Subject; AI Mentor; Intersubjectivity,HYP-IPAC-008; HYP-IPAC-009,,IPaC relies on AI as methodological support without transferring subjecthood.,"AI over-synthesis, yes-man drift, false coherence.",needs_hypothesis_test,high,high,import_to_hypothesis_review
OQ-IPAC-007,Can the AI Mentor Layer transfer the working mode to a new Project or agent?,methodology,Phase 2; Phase 3R; Phase 8,AI Mentor; Context Pack; Source-of-truth,HYP-IPAC-007; HYP-IPAC-008,,Portation depends on transferring not only files but working discipline.,New Project starts from zero or becomes generic.,needs_hypothesis_test,critical,high,import_to_hypothesis_review
OQ-IPAC-008,Can Obsidian / Git / Project serve as stable memory without creating tool capture?,tool_infrastructure,Phase 5; Phase 8,Source-of-truth; Trace; Context Pack,HYP-IPAC-019; HYP-IPAC-021; HYP-IPAC-022,RG-IPAC-008,"The tools may support the system, but must not become the concept.",Tool-driven conclusions; Obsidian/Git mistaken for IPaC.,needs_prototype_mvp,high,medium-high,import_to_research_backlog
OQ-IPAC-009,What is the boundary between IPaC and Knowledge Engineering?,research,Phase 5,Knowledge Artifact; Canon; Knowledge Clump,HYP-IPAC-002,RG-IPAC-003,"Without boundary work, IPaC may duplicate existing fields under new wording.",False novelty; weak positioning; conceptual inflation.,needs_research,critical,high,import_to_research_backlog
OQ-IPAC-010,What is the boundary between IPaC and Context Engineering?,research,Phase 5,Context Pack; AI Mentor; Source-of-truth,HYP-IPAC-007; HYP-IPAC-026,RG-IPAC-006,Context Engineering may overlap with IPaC boot/context-pack logic.,Terminology fog; duplicated field claims.,needs_research,high,high,import_to_research_backlog
OQ-IPAC-011,Does the phrase Meaning Bottleneck travel outside the internal project context?,communication_field,Phase 2; Phase 3R; Phase 5,Meaning Bottleneck; Field Evidence,HYP-IPAC-001; HYP-IPAC-017,RG-IPAC-011,It was selected as a key conceptual entry point but has no field evidence.,Beautiful formulation treated as validation.,needs_field_evidence,critical,high,import_to_open_questions
OQ-IPAC-012,Does the term Knowledge Clump make sense to external reviewers?,terminology,Phase 2; Phase 5,Knowledge Clump,HYP-IPAC-003,RG-IPAC-012,The term is central internally but may not be portable externally.,Terminology fog; weak communication; concept rejection due to naming.,needs_expert_review,high,high,import_to_terminology_review
OQ-IPAC-013,How to distinguish research support from validation in daily project work?,validation,Phase 5; Phase 8,Evidence; Field Evidence; Review,HYP-IPAC-025,,Phase 5 explicitly states research support is not validation.,False maturity and premature canonization.,needs_methodology_review,critical,high,import_to_open_questions
OQ-IPAC-014,What field evidence would be sufficient to upgrade core hypotheses?,validation,Phase 3R; Phase 5,Field Evidence; Evidence,multiple,RG-IPAC-011; RG-IPAC-012,The project needs clear validation thresholds before public or architectural claims.,Hypothesis status drift and overclaiming.,needs_hypothesis_test,critical,high,import_to_hypothesis_review
OQ-IPAC-015,Can field feedback be turned into controlled rebuild rather than chaos?,validation,Phase 4; Phase 5,Feedback; Review; Controlled Rebuild,HYP-IPAC-004; HYP-IPAC-013,,The living knowledge cycle depends on feedback improving the system without destabilizing canon.,"Feedback panic, opportunistic rewriting, canon instability.",needs_prototype_mvp,high,high,import_to_open_questions
OQ-IPAC-016,Which parts of the former execution work are parked signals and which are reusable mechanisms?,execution,Phase 4; Phase 8,Projection; Feedback; Review,HYP-IPAC-014; HYP-IPAC-015,,Earlier execution artifacts are valuable but not architecture.,Execution candidates re-enter architecture core.,park_for_later,medium,high,park_for_later
OQ-IPAC-017,When should Codex / execution agents be connected without damaging concept boundaries?,tool_infrastructure,Phase 3R; Phase 5,AI Mentor; Knowledge Artifact,HYP-IPAC-023,,Codex may support implementation but can also cause execution pull.,Technical implementation starts before conceptual and validation discipline is stable.,park_for_later,medium,medium-high,park_for_later
OQ-IPAC-018,"Does IPaC require RAG / Knowledge Graph / Neo4j, or are these only possible tools?",tool_infrastructure,Phase 5,Trace; Source-of-truth; Context Pack,HYP-IPAC-024,RG-IPAC-007,Avoid tool capture and premature technical architecture.,Technical stack becomes concept substitute.,needs_research,medium,medium,import_to_research_backlog
OQ-IPAC-019,Which terms are working terms and which are public terms?,terminology,Phase 2; Phase 6,Living Meaning; Knowledge Clump; Canon; Resonance; Intersubjectivity,HYP-IPAC-017,RG-IPAC-012,Internal terms may be powerful but externally unclear.,"Terminology fog, rejection, or pseudo-philosophical impression.",needs_terminology_clarification,high,high,import_to_terminology_review
OQ-IPAC-020,What should be parked until after Wave 2 closure?,governance,Phase 8,Source-of-truth; Context Pack,,,Not all important questions should be solved now.,Research-as-delay and execution pull.,park_for_later,high,high,import_to_open_questions
OQ-IPAC-021,Can IPaC be explained without excessive simplification?,communication_field,Phase 2; Phase 5,Projection; Living Meaning; Knowledge Clump,HYP-IPAC-017; HYP-IPAC-032,RG-IPAC-011; RG-IPAC-012,"Public understanding may require simplification, but simplification may distort the concept.",Either opacity or flattening into marketing/content workflow.,needs_field_evidence,high,medium-high,import_to_open_questions
OQ-IPAC-022,What is the next correct phase after Phase 6?,governance,Phase 6,Context Pack; Source-of-truth,,,The prompt specifies Wave 2 Closure / Knowledge Recovery Pack Assembly.,The project may keep producing isolated phase artifacts instead of packaging recovery state.,needs_architecture_review,critical,high,import_to_open_questions
