finding_id,research_area,finding_statement,type,evidence_ladder_level,supports_concept,supports_hypothesis,supports_architecture_invariant,limitation,risk_if_overused,maturity_status,confidence,import_status
RF-IPAC-001,Karpathy LLM Wiki,Mentioned as an AI/LLM knowledge reference line relevant to LLM capabilities and AI-native work.,open_question,Mentioned,AI Mentor; Context Pack,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Only mentioned / not audited in this recovery artifact.,May be overinterpreted as validation or architecture proof.,mentioned_not_verified,low,import_to_research_gaps
RF-IPAC-002,Ted Nelson / Project Xanadu,Mentioned as historical hypertext / non-linear knowledge reference line.,analogy,Used as Analogy,Trace; Knowledge Artifact; Projection,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Analogy only; does not validate IPaC.,May be overinterpreted as validation or architecture proof.,analogy_only,medium-low,import_to_research_map
RF-IPAC-003,Knowledge Engineering,Discussed as neighboring field dealing with formalization and structuring of knowledge.,evidence,Used as Conceptual Support,Knowledge Clump; Knowledge Artifact; Canon,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,"Neighboring field support, not proof of IPaC.",May be overinterpreted as validation or architecture proof.,partially_supported,medium-high,import_to_concept_support
RF-IPAC-004,Expert Systems,Discussed as historical AI/knowledge representation line.,analogy,Used as Analogy,Knowledge Artifact; Decision; Review,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Does not validate living knowledge circulation.,May be overinterpreted as validation or architecture proof.,analogy_only,medium,import_to_research_map
RF-IPAC-005,Decision Support Systems,Discussed as systems supporting decisions rather than merely storing information.,evidence,Used as Conceptual Support,Decision; Review; Human Subject,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Supports subsystem role only.,May be overinterpreted as validation or architecture proof.,partially_supported,medium,import_to_concept_support
RF-IPAC-006,Situation Centers / Situation Dashboards,Mentioned as analogues for situational awareness and operational control.,analogy,Used as Analogy,Review; Decision; Source-of-truth,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Risk of execution pull; dashboard is not IPaC architecture.,May be overinterpreted as validation or architecture proof.,analogy_only,medium-low,import_to_risk_register
RF-IPAC-007,Obsidian / Markdown / Local-first Knowledge Base,Discussed and operationally explored as local-first Markdown-compatible environment.,tool_signal,Artifact-Supported,Knowledge Artifact; Trace; Source-of-truth,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Tool signal only; Obsidian is not IPaC.,May be overinterpreted as validation or architecture proof.,tool_signal_only,medium-high,import_to_research_map
RF-IPAC-008,Context Engineering,Discussed as AI-era discipline for managing context entering LLM work.,evidence,Used as Conceptual Support,Context Pack; AI Mentor; Trace,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Needs deeper research to define boundary versus IPaC.,May be overinterpreted as validation or architecture proof.,partially_supported,medium,import_to_concept_support
RF-IPAC-009,Human-in-the-loop,Repeatedly present as role-separation principle.,architecture_signal,Used as Architectural Support,Human Subject; AI Mentor; Decision,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,General principle; does not specify IPaC implementation.,May be overinterpreted as validation or architecture proof.,partially_supported,high,import_to_concept_support
RF-IPAC-010,RAG / Knowledge Graph / Neo4j,"Discussed as possible technical support for retrieval, graph relations and structured knowledge.",open_question,Mentioned,Trace; Source-of-truth; Context Pack,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Tool signal only; not IPaC and not concept proof.,May be overinterpreted as validation or architecture proof.,mentioned_not_verified,low-medium,import_to_research_gaps
RF-IPAC-011,Codex / AI Execution Agents,Discussed as future execution/engineering layer.,architecture_signal,Used as Architectural Support,Knowledge Artifact; Context Pack,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Execution candidate; Codex is not IPaC.,May be overinterpreted as validation or architecture proof.,tool_signal_only,medium,park_for_later
RF-IPAC-012,AI-native SDLC,Discussed as neighboring development lifecycle framing.,evidence,Used as Conceptual Support,Knowledge lifecycle; Review; Trace,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Neighboring analogy/support; not proof of IPaC.,May be overinterpreted as validation or architecture proof.,partially_supported,medium,import_to_research_map
RF-IPAC-013,MCP / Tool Integration,Discussed as future connectivity/integration mechanism.,open_question,Mentioned,Context Pack; Source-of-truth,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Mentioned only; needs technical validation.,May be overinterpreted as validation or architecture proof.,mentioned_not_verified,low,park_for_later
RF-IPAC-014,Obsidian Canvas / Visual Knowledge Mapping,Discussed and accepted as useful for visualizing Knowledge Clump dynamics.,tool_signal,Artifact-Supported,Knowledge Clump; Trace; Projection,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Canvas is not the system.,May be overinterpreted as validation or architecture proof.,tool_signal_only,medium-high,import_to_research_map
RF-IPAC-015,Git / Versioned Knowledge,Discussed as versioned memory / trace layer.,architecture_signal,Used as Architectural Support,Trace; Canon; Controlled Rebuild,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,Tool does not validate social/conceptual claims.,May be overinterpreted as validation or architecture proof.,partially_supported,medium-high,import_to_research_map
RF-IPAC-016,Software Engineering Foundational Sources,"Discussed in earlier deep research tracks: Dijkstra, Parnas, Royce, Brooks, McIlroy, Boehm, SWEBOK and software crisis lineage.",evidence,Used as Conceptual Support,Trace; lifecycle; conceptual integrity; configuration discipline,Research support only; does not upgrade hypothesis status.,Living knowledge circuit / trace / role separation where applicable.,"Transfer is analogy/discipline support, not direct proof.",May be overinterpreted as validation or architecture proof.,partially_supported,medium-high,import_to_research_map
